                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.62746,                0.45607,                0.94462,                0.74151,                0.49983,                0.58182,                0.40543,                 1.1746,                  0.919,                 1.3314,             0.00015468,             0.00015468,             0.00015468
                    115,                0.62864,                0.45722,                0.93663,                0.77474,                0.47939,                0.56229,                0.40293,                 1.1915,                0.97074,                 1.3457,             0.00015298,             0.00015298,             0.00015298
                    116,                0.62997,                0.45372,                0.94445,                0.80263,                0.49368,                0.56983,                0.41803,                 1.1838,                0.94347,                 1.3359,             0.00015129,             0.00015129,             0.00015129
                    117,                0.65085,                0.46154,                0.94371,                0.78913,                0.51289,                0.57184,                0.41538,                 1.1722,                0.96234,                 1.3272,             0.00014959,             0.00014959,             0.00014959
                    118,                0.64285,                0.47437,                0.95076,                0.73732,                0.49023,                0.56035,                0.40992,                 1.1616,                0.97246,                 1.3068,             0.00014789,             0.00014789,             0.00014789
                    119,                0.64136,                0.45462,                0.94627,                0.79461,                0.48015,                0.56244,                0.40433,                 1.1915,                0.97038,                 1.3365,             0.00014619,             0.00014619,             0.00014619
                    120,                0.63443,                0.45883,                0.94179,                 0.7448,                0.51155,                0.55998,                0.40686,                 1.1946,                0.96239,                 1.3489,             0.00014449,             0.00014449,             0.00014449
                    121,                0.61417,                0.58569,                0.92968,                 0.7259,                0.50638,                0.56382,                0.40359,                 1.1746,                0.95011,                 1.3302,             0.00014279,             0.00014279,             0.00014279
                    122,                0.63617,                0.45752,                0.94723,                0.70759,                0.49731,                0.55125,                0.39336,                 1.1715,                0.95123,                 1.3266,             0.00014109,             0.00014109,             0.00014109
                    123,                 0.6197,                0.43951,                0.94286,                0.76388,                0.49396,                0.56127,                0.40483,                 1.1888,                0.95326,                 1.3414,             0.00013939,             0.00013939,             0.00013939
                    124,                 0.6147,                 0.4459,                0.93931,                0.75214,                0.49835,                 0.5605,                0.40853,                 1.1815,                0.94079,                 1.3444,             0.00013769,             0.00013769,             0.00013769
                    125,                0.61436,                  0.447,                0.93846,                0.71123,                0.52107,                0.56019,                0.40769,                 1.1863,                 0.9437,                 1.3488,             0.00013599,             0.00013599,             0.00013599
                    126,                0.61143,                0.43844,                0.94349,                0.74392,                0.49207,                0.55021,                0.40127,                 1.1675,                0.95984,                 1.3323,             0.00013429,             0.00013429,             0.00013429
                    127,                0.60688,                0.43205,                0.92642,                0.76384,                  0.501,                0.56392,                 0.4079,                 1.1673,                0.94409,                   1.33,             0.00013259,             0.00013259,             0.00013259
                    128,                0.61262,                0.43615,                0.92804,                0.75635,                0.50971,                0.56216,                0.40841,                 1.1713,                0.94909,                 1.3352,             0.00013089,             0.00013089,             0.00013089
                    129,                0.61216,                0.44186,                0.94026,                0.77303,                0.48652,                0.55911,                0.40257,                 1.1871,                0.95933,                 1.3617,             0.00012919,             0.00012919,             0.00012919
                    130,                0.60693,                0.43392,                 0.9326,                0.78249,                0.48991,                0.56859,                0.40942,                 1.1919,                0.95842,                 1.3503,              0.0001275,              0.0001275,              0.0001275
                    131,                0.61947,                0.47482,                0.93882,                0.83649,                0.48465,                0.56643,                0.40428,                 1.1901,                0.95665,                  1.357,              0.0001258,              0.0001258,              0.0001258
                    132,                0.58885,                0.42323,                0.92321,                0.85077,                0.48157,                0.55891,                0.39933,                 1.1844,                0.95863,                 1.3386,              0.0001241,              0.0001241,              0.0001241
                    133,                 0.6313,                0.44739,                0.93856,                0.75997,                0.49313,                0.54961,                0.39558,                 1.1771,                0.97855,                 1.3414,              0.0001224,              0.0001224,              0.0001224
                    134,                 0.6025,                 0.4246,                0.93468,                0.78734,                0.48502,                0.55112,                0.39537,                 1.1947,                0.94398,                 1.3697,              0.0001207,              0.0001207,              0.0001207
                    135,                0.61656,                 0.4475,                0.93563,                0.82796,                0.48118,                0.55703,                0.40384,                 1.1833,                0.94112,                 1.3592,               0.000119,               0.000119,               0.000119
                    136,                0.59711,                0.41803,                0.92813,                0.74633,                0.50255,                0.55759,                0.39834,                  1.181,                0.93031,                 1.3559,              0.0001173,              0.0001173,              0.0001173
                    137,                0.58891,                0.42259,                0.93243,                0.75761,                0.49364,                0.55568,                0.39858,                 1.1776,                0.93526,                 1.3473,              0.0001156,              0.0001156,              0.0001156
                    138,                 0.6124,                0.42794,                0.93107,                0.76286,                0.47893,                0.55199,                0.39753,                 1.1751,                0.96196,                 1.3436,              0.0001139,              0.0001139,              0.0001139
                    139,                0.61126,                0.45461,                0.93546,                  0.724,                0.50008,                0.55215,                0.39278,                 1.1776,                0.95559,                 1.3585,              0.0001122,              0.0001122,              0.0001122
